institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
University of North Carolina at Charlotte,12.0,1.0,519654.0,483656.0,Golf,,,,,,
University of North Carolina at Charlotte,30.0,29.0,807987.0,765183.0,Soccer,,,,,,
University of North Carolina at Charlotte,,20.0,,910903.0,Softball,,,,,,
University of North Carolina at Charlotte,10.0,8.0,404558.0,488885.0,Tennis,,,,,,
University of North Carolina at Charlotte,,14.0,,819409.0,Volleyball,,,,,,
University of North Carolina at Greensboro,38.0,,753650.0,,Baseball,,,,,,
University of North Carolina at Greensboro,18.0,15.0,2089131.0,1209904.0,Basketball,,,,,,
University of North Carolina at Greensboro,52.0,45.0,205909.0,194376.0,All Track Combined,,,,,,
University of North Carolina at Greensboro,10.0,7.0,283405.0,216230.0,Golf,,,,,,
University of North Carolina at Greensboro,29.0,29.0,602294.0,692553.0,Soccer,,,,,,
University of North Carolina at Greensboro,,22.0,,611376.0,Softball,,,,,,
University of North Carolina at Greensboro,12.0,9.0,228217.0,316680.0,Tennis,,,,,,
University of North Carolina at Greensboro,,17.0,,572989.0,Volleyball,,,,,,
North Carolina Central University,35.0,,527262.0,,Baseball,,,,,,
North Carolina Central University,14.0,17.0,1338388.0,1216608.0,Basketball,,,,,,
North Carolina Central University,47.0,46.0,329498.0,343256.0,All Track Combined,,,,,,
North Carolina Central University,115.0,,3326382.0,,Football,,,,,,
North Carolina Central University,8.0,,143443.0,,Golf,,,,,,
North Carolina Central University,,25.0,,429968.0,Softball,,,,,,
North Carolina Central University,6.0,8.0,194617.0,342099.0,Tennis,,,,,,
North Carolina Central University,,16.0,,442717.0,Volleyball,,,,,,
North Carolina State University at Raleigh,36.0,,945885.0,,Baseball,,,,,,
North Carolina State University at Raleigh,14.0,13.0,9334862.0,879224.0,Basketball,,,,,,
North Carolina State University at Raleigh,84.0,128.0,901960.0,1423328.0,All Track Combined,,,,,,
North Carolina State University at Raleigh,125.0,,33372812.0,,Football,,,,,,
North Carolina State University at Raleigh,12.0,9.0,292217.0,364071.0,Golf,,,,,,
North Carolina State University at Raleigh,,19.0,,601077.0,Gymnastics,,,,,,
North Carolina State University at Raleigh,,,,,Rifle,,,,,,
North Carolina State University at Raleigh,28.0,22.0,819428.0,853420.0,Soccer,,,,,,
North Carolina State University at Raleigh,,24.0,,769059.0,Softball,,,,,,
North Carolina State University at Raleigh,36.0,37.0,680598.0,854384.0,Swimming and Diving,,,,,,
North Carolina State University at Raleigh,11.0,9.0,368882.0,513031.0,Tennis,,,,,,
North Carolina State University at Raleigh,,18.0,,734931.0,Volleyball,,,,,,
North Carolina State University at Raleigh,36.0,,726655.0,,Wrestling,,,,,,
North Carolina Wesleyan College,61.0,,179835.0,,Baseball,,,,,,
North Carolina Wesleyan College,16.0,15.0,189252.0,119429.0,Basketball,,,,,,
North Carolina Wesleyan College,,17.0,,47505.0,All Track Combined,,,,,,
North Carolina Wesleyan College,161.0,,654310.0,,Football,,,,,,
North Carolina Wesleyan College,6.0,,36561.0,,Golf,,,,,,
North Carolina Wesleyan College,,19.0,,93448.0,Lacrosse,,,,,,
North Carolina Wesleyan College,67.0,23.0,90856.0,99449.0,Soccer,,,,,,
North Carolina Wesleyan College,,22.0,,107077.0,Softball,,,,,,
North Carolina Wesleyan College,23.0,8.0,104200.0,36243.0,Tennis,,,,,,
North Carolina Wesleyan College,15.0,,41916.0,,"Track and Field, X-Country",,,,,,
North Carolina Wesleyan College,,23.0,,89498.0,Volleyball,,,,,,
University of North Carolina Wilmington,42.0,,977700.0,,Baseball,,,,,,
University of North Carolina Wilmington,16.0,16.0,1652943.0,1163288.0,Basketball,,,,,,
